character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10,emotion
Phoebe,S09,joy,yummy,0.2169304578186559,toilet,0.1626978433639919,veal,0.1626978433639919,someday,0.1626978433639919,realise,0.1626978433639919,meat,0.1626978433639919,children,0.10846522890932794,seat,0.10846522890932794,theodore,0.10846522890932794,maintenance,0.10846522890932794
Monica,S09,joy,borrowed,0.17094086468945674,music,0.17094086468945674,nancy,0.17094086468945674,javo,0.17094086468945674,clearly,0.11396057645963784,agency,0.11396057645963784,dawn,0.11396057645963784,hall,0.11396057645963784,erm,0.11396057645963784,folders,0.11396057645963784
Chandler,S01,joy,danielle,0.2128141326896867,helen,0.17025130615174938,toast,0.12768847961381202,tests,0.12768847961381202,boom,0.12768847961381202,weekly,0.12768847961381202,knit,0.12768847961381202,lights,0.12768847961381202,trppd,0.08512565307587469,waaaay,0.08512565307587469
Joey,S01,joy,shoot,0.2195285199793804,underwear,0.1646463899845353,pacino,0.1646463899845353,mississippi,0.1646463899845353,agent,0.1646463899845353,dead,0.1097642599896902,ursula,0.1097642599896902,happened,0.1097642599896902,excellent,0.1097642599896902,cup,0.1097642599896902
Ross,S01,joy,realise,0.1476203493915366,rice,0.1476203493915366,situation,0.1476203493915366,bugs,0.1476203493915366,base,0.1476203493915366,shake,0.0984135662610244,nauseous,0.0984135662610244,state,0.0984135662610244,stomach,0.0984135662610244,los,0.0984135662610244
Rachel,S01,joy,book,0.19950186722152627,shopping,0.1496264004161447,ooo,0.1496264004161447,shoop,0.1496264004161447,weebles,0.1496264004161447,gravy,0.1496264004161447,central,0.1496264004161447,cat,0.1496264004161447,boots,0.1496264004161447,wel,0.09975093361076313
Phoebe,S01,joy,massage,0.23652495839563292,oooh,0.23652495839563292,means,0.1773937187967247,jack,0.1773937187967247,smells,0.11826247919781646,valentine,0.11826247919781646,weren,0.11826247919781646,madness,0.11826247919781646,village,0.11826247919781646,twins,0.11826247919781646
Monica,S01,joy,wendy,0.32684082642170564,healthy,0.16342041321085282,glad,0.10894694214056856,bucks,0.10894694214056856,waving,0.10894694214056856,compare,0.10894694214056856,control,0.10894694214056856,gosh,0.10894694214056856,vegetarian,0.10894694214056856,umm,0.10894694214056856
Chandler,S07,joy,brave,0.1871348584655416,seriously,0.1871348584655416,quiet,0.1871348584655416,pipe,0.1871348584655416,enjoying,0.12475657231036107,centerpieces,0.12475657231036107,card,0.12475657231036107,tacos,0.12475657231036107,saving,0.12475657231036107,personal,0.12475657231036107
Joey,S07,joy,scene,0.34197237812222153,winner,0.14655959062380924,porn,0.14655959062380924,receiving,0.14655959062380924,terry,0.14655959062380924,hoop,0.14655959062380924,sharing,0.14655959062380924,soapie,0.14655959062380924,canceled,0.09770639374920616,coma,0.09770639374920616
Ross,S07,joy,professor,0.23570226039551542,bapstein,0.18856180831641234,history,0.14142135623730925,dreidel,0.14142135623730925,section,0.14142135623730925,instead,0.14142135623730925,joan,0.14142135623730925,king,0.14142135623730925,son,0.14142135623730925,pivot,0.14142135623730925
Rachel,S07,joy,bla,0.1825741858350552,dial,0.1825741858350552,evaluation,0.1369306393762914,quarter,0.1369306393762914,carol,0.1369306393762914,contracts,0.1369306393762914,cell,0.1369306393762914,melissa,0.1369306393762914,boss,0.0912870929175276,coffee,0.0912870929175276
Phoebe,S07,joy,earl,0.28771766882421806,empire,0.17263060129453087,supplies,0.17263060129453087,bags,0.11508706752968724,celery,0.11508706752968724,china,0.11508706752968724,drums,0.11508706752968724,clunkers,0.11508706752968724,kyle,0.11508706752968724,mahi,0.11508706752968724
Monica,S07,joy,chocolate,0.2195285199793803,clark,0.16464638998453524,seating,0.16464638998453524,blood,0.10976425998969015,brunch,0.10976425998969015,awww,0.10976425998969015,barca,0.10976425998969015,coulda,0.10976425998969015,discount,0.10976425998969015,tried,0.10976425998969015
Chandler,S08,joy,developed,0.18257418583505527,sir,0.18257418583505527,company,0.12171612389003685,babe,0.12171612389003685,closet,0.12171612389003685,data,0.12171612389003685,dim,0.12171612389003685,sierra,0.12171612389003685,sun,0.12171612389003685,statistical,0.12171612389003685
Joey,S08,joy,dude,0.2515330848901906,talkin,0.20961090407515884,remoray,0.16768872326012707,ball,0.16768872326012707,push,0.16768872326012707,knowing,0.1257665424450953,fan,0.1257665424450953,lynn,0.1257665424450953,close,0.1257665424450953,sleep,0.1257665424450953
Ross,S08,joy,ukrainian,0.1802525304378328,muriel,0.1802525304378328,film,0.1802525304378328,clickclocken,0.12016835362522185,bride,0.12016835362522185,ezel,0.12016835362522185,conversation,0.12016835362522185,understanding,0.12016835362522185,defense,0.12016835362522185,finding,0.12016835362522185
Rachel,S08,joy,daddy,0.21789388428113704,opera,0.16342041321085277,late,0.16342041321085277,digest,0.16342041321085277,cujo,0.16342041321085277,signals,0.10894694214056852,weekend,0.10894694214056852,puzzle,0.10894694214056852,shoe,0.10894694214056852,pal,0.10894694214056852
Phoebe,S08,joy,ursula,0.22019275302527186,brolin,0.22019275302527186,mon,0.1651445647689539,blah,0.1651445647689539,wrap,0.1651445647689539,volunteer,0.11009637651263593,times,0.11009637651263593,waitress,0.11009637651263593,triplets,0.11009637651263593,spade,0.11009637651263593
Monica,S08,joy,bread,0.1835970184086313,mister,0.12239801227242086,supergirl,0.12239801227242086,kitchen,0.12239801227242086,pull,0.12239801227242086,invite,0.12239801227242086,gives,0.12239801227242086,dress,0.12239801227242086,differently,0.12239801227242086,calamari,0.12239801227242086
Chandler,S06,joy,couch,0.2617119612951064,unless,0.15702717677706385,ugly,0.15702717677706385,pig,0.15702717677706385,pigs,0.15702717677706385,krog,0.15702717677706385,business,0.10468478451804256,closer,0.10468478451804256,brochures,0.10468478451804256,vitamins,0.10468478451804256
Joey,S06,joy,thursday,0.37930477676498,famous,0.21072487598054443,candles,0.12643492558832667,flowers,0.12643492558832667,sucks,0.12643492558832667,momma,0.12643492558832667,porsche,0.12643492558832667,carl,0.08428995039221777,watering,0.08428995039221777,allergy,0.08428995039221777
