character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10
Phoebe,S09,bob,0.279434528477987,yay,0.17464658029874186,yummy,0.1703839351987954,realise,0.12778795139909657,toilet,0.12778795139909657,veal,0.12778795139909657,meat,0.12778795139909657,someday,0.12778795139909657,massage,0.10478794817924512,changing,0.10478794817924512
Monica,S09,tulsa,0.2228275372186674,nancy,0.13586807925550784,music,0.13586807925550784,javo,0.13586807925550784,borrowed,0.13586807925550784,wishing,0.1114137686093337,ovulating,0.1114137686093337,clean,0.1114137686093337,bucks,0.1114137686093337,dawn,0.0905787195036719
Chandler,S01,janice,0.41878676504918416,danielle,0.17023555255657308,helen,0.13618844204525846,line,0.11167647067978245,knit,0.10214133153394385,boom,0.10214133153394385,lights,0.10214133153394385,toast,0.10214133153394385,tests,0.10214133153394385,weekly,0.10214133153394385
Joey,S01,angela,0.18650271432132043,shoot,0.181950693434518,whoa,0.14920217145705633,actor,0.14920217145705633,stalin,0.14920217145705633,underwear,0.1364630200758885,mississippi,0.1364630200758885,pacino,0.1364630200758885,agent,0.1364630200758885,food,0.11190162859279226
Ross,S01,ben,0.22234030876664856,gimme,0.19057740751427021,hah,0.12705160500951346,bone,0.12705160500951346,laundry,0.12705160500951346,bugs,0.1162037090732108,base,0.1162037090732108,rice,0.1162037090732108,realise,0.1162037090732108,situation,0.1162037090732108
Rachel,S01,went,0.2542775525548896,doctors,0.19070816441616723,young,0.158923470346806,book,0.15504458333406568,buffay,0.1271387762774448,cat,0.11628343750054927,central,0.11628343750054927,shopping,0.11628343750054927,ooo,0.11628343750054927,weebles,0.11628343750054927
Phoebe,S01,oooh,0.20042768849423334,massage,0.20042768849423334,song,0.16435357172310136,ben,0.16435357172310136,jack,0.150320766370675,means,0.150320766370675,huge,0.12326517879232603,max,0.12326517879232603,betty,0.12326517879232603,twins,0.10021384424711667
Monica,S01,wendy,0.28828948673416505,healthy,0.14414474336708252,lasagna,0.11820075158014637,nana,0.11820075158014637,small,0.11820075158014637,control,0.09609649557805501,vegetarian,0.09609649557805501,horribly,0.09609649557805501,glad,0.09609649557805501,gosh,0.09609649557805501
Chandler,S07,batman,0.19730358560378672,quiet,0.1443659587543943,pipe,0.1443659587543943,brave,0.1443659587543943,seriously,0.1443659587543943,bond,0.11838215136227204,appreciate,0.11838215136227204,spend,0.11838215136227204,james,0.11838215136227204,tux,0.11838215136227204
Joey,S07,scene,0.272392095278665,audition,0.19145606978695318,plus,0.15954672482246096,jessica,0.15954672482246096,star,0.12763737985796877,nap,0.12763737985796877,character,0.12763737985796877,giving,0.12763737985796877,receiving,0.11673946940514214,sharing,0.11673946940514214
Ross,S07,hanukkah,0.3373501301802823,professor,0.1869979185627521,bapstein,0.1495983348502017,presents,0.12267277461101174,section,0.11219875113765126,joan,0.11219875113765126,king,0.11219875113765126,instead,0.11219875113765126,son,0.11219875113765126,dreidel,0.11219875113765126
Rachel,S07,tag,0.4202759306419067,half,0.1681103722567627,dial,0.13667271509050732,bla,0.13667271509050732,funny,0.11207358150450845,speed,0.11207358150450845,melissa,0.10250453631788049,cell,0.10250453631788049,evaluation,0.10250453631788049,carol,0.10250453631788049
Phoebe,S07,earl,0.2385895966354257,hire,0.15651750585003424,david,0.15651750585003424,supplies,0.1431537579812554,empire,0.1431537579812554,thirtieth,0.11738812938752569,speak,0.11738812938752569,neil,0.09543583865417028,smart,0.09543583865417028,clunkers,0.09543583865417028
Monica,S07,invited,0.2734764672139118,true,0.20510735041043382,chocolate,0.16675103439065989,cookies,0.1367382336069559,seating,0.12506327579299492,clark,0.12506327579299492,favorite,0.10255367520521691,calling,0.10255367520521691,anybody,0.10255367520521691,weeks,0.10255367520521691
