character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10,mot_1_filtre,score_1_filtre,mot_2_filtre,score_2_filtre,mot_3_filtre,score_3_filtre,mot_4_filtre,score_4_filtre,mot_5_filtre,score_5_filtre,mot_6_filtre,score_6_filtre,mot_7_filtre,score_7_filtre,mot_8_filtre,score_8_filtre,mot_9_filtre,score_9_filtre,mot_10_filtre,score_10_filtre
Phoebe,S02,smelly,0.4050175522261454,ooh,0.32787135180211774,cat,0.31630493969699186,voice,0.18978296381819512,singing,0.1735789509540623,mrs,0.1735789509540623,adelman,0.1542924008480554,face,0.14233722286364633,meet,0.13500585074204846,ryan,0.13500585074204846,smelly,0.4142443754342633,ooh,0.335340684875356,cat,0.32351077495622266,voice,0.19410646497373363,singing,0.1775333037575414,mrs,0.1775333037575414,face,0.1455798487303002,ryan,0.13808145847808775,person,0.13808145847808775,meet,0.13808145847808775
Monica,S02,richard,0.4395323456631233,honey,0.24779068259077547,party,0.20273783121063446,bed,0.19229540122761646,trying,0.16482462962367125,thinking,0.15768497983049348,ready,0.13735385801972605,minutes,0.13735385801972605,bathroom,0.13735385801972605,benny,0.13735385801972605,richard,0.4395323456631233,honey,0.24779068259077547,party,0.20273783121063446,bed,0.19229540122761646,trying,0.16482462962367125,thinking,0.15768497983049348,planned,0.13735385801972605,hated,0.13735385801972605,minutes,0.13735385801972605,bathroom,0.13735385801972605
Chandler,S07,joe,0.2316521484954754,chair,0.21187471649133927,somebody,0.2118732688810724,wearing,0.19304345707956283,money,0.1792786062619025,batman,0.17373911137160655,forget,0.17373911137160655,wear,0.1647903202408341,story,0.16298055114718407,broke,0.15443476566365028,chair,0.2184885351224223,somebody,0.2184870423239805,wearing,0.1990694446734798,money,0.18487491433435738,batman,0.17916250020613184,forget,0.17916250020613184,wear,0.16993436625198483,story,0.16806810394032487,dress,0.15925555573878386,cheesecake,0.15925555573878386
Joey,S07,audition,0.23734435766689224,check,0.23001227191676502,parents,0.17693251685904998,jessica,0.17261407830319436,nap,0.17261407830319436,taking,0.17261407830319436,scene,0.17261407830319436,dude,0.159239265173145,movie,0.15103731851529506,lives,0.15103731851529506,audition,0.24096129931666746,check,0.23351747833680883,parents,0.17962882948985293,scene,0.1752445813212127,nap,0.1752445813212127,taking,0.1752445813212127,dude,0.16166594654086763,lives,0.1533390086560611,movie,0.1533390086560611,cool,0.14370306359188234
Ross,S07,ben,0.3193157351711365,dad,0.3100265276523592,hanukkah,0.2336415839188918,bike,0.20755522786123873,ride,0.19470131993240986,santa,0.1915894411026819,car,0.17523118793916886,excuse,0.15576105594592787,professor,0.15576105594592787,dude,0.1436920808270114,dad,0.32715354409406455,hanukkah,0.24654881246977253,bike,0.2190213492511071,ride,0.20545734372481045,santa,0.2021735531548681,car,0.1849116093523294,excuse,0.16436587497984836,professor,0.16436587497984836,dude,0.15163016486615105,sister,0.1438201406073673
Rachel,S07,tag,0.37075444674659075,phone,0.20268263336539208,chair,0.1955641212670549,office,0.17372797145605037,honey,0.1588958485294821,funny,0.1588958485294821,plan,0.15889476289139604,ben,0.14477330954670864,assistant,0.14477330954670864,desk,0.14123978923679648,phone,0.22583110277336105,chair,0.2178995823930486,office,0.1935695166628809,funny,0.17704341069435198,honey,0.17704341069435198,plan,0.17704220106508026,assistant,0.16130793055240075,desk,0.15737084539118246,year,0.14980596289522094,ugh,0.14517713749716066
Phoebe,S07,david,0.25790195695691265,kiss,0.22924618396170013,earl,0.22924618396170013,bike,0.1879851502607167,bye,0.17854872857666554,headache,0.17193463797127512,lost,0.17193463797127512,change,0.17193463797127512,phone,0.1644870064781271,mom,0.15870998095703603,kiss,0.23727286571261763,earl,0.23727286571261763,bike,0.19456714411974324,bye,0.1848003214998231,change,0.17795464928446322,headache,0.17795464928446322,lost,0.17795464928446322,phone,0.17024625110477531,mom,0.16426695244428718,totally,0.16426695244428718
Monica,S07,dad,0.2518147922525197,dress,0.24562900938449686,mom,0.20737688773736918,engaged,0.1925629372252982,invited,0.17116705531137616,parents,0.157904363175748,family,0.14977117339745413,true,0.14977117339745413,wants,0.14035943393399822,sweet,0.13331371354545163,dad,0.2541647627379791,dress,0.24792125328829168,mom,0.209312157548924,engaged,0.19435996120083587,invited,0.17276440995629855,parents,0.15937794854247322,family,0.15116885871176122,true,0.15116885871176122,wants,0.14166928759330955,baby,0.13455781556716542
Chandler,S05,dum,0.262417681045207,richard,0.23617752659718091,joe,0.18369237673164493,movie,0.18167502045936995,home,0.172149001915229,win,0.1574506086271242,hard,0.15063037667582538,leave,0.14534001636749597,entire,0.1312088405226035,sir,0.1312088405226035,dum,0.2684955332998454,richard,0.24164763100023104,movie,0.18588279307710082,home,0.17613614255017718,win,0.16109731997990723,hard,0.15411912473140504,leave,0.14870623446168066,different,0.1342477666499227,suite,0.1342477666499227,entire,0.1342477666499227
Joey,S05,dude,0.24592369471294814,hand,0.23357889150805272,soup,0.20618242760321667,play,0.19981300195427038,bag,0.18444277103471113,actor,0.16869471349354093,real,0.15370230919559258,identical,0.14995085643870304,twin,0.14995085643870304,hmm,0.13833207827603333,dude,0.248020799997332,hand,0.23557072693600456,soup,0.2079406406903228,play,0.20151689999783226,bag,0.18601559999799902,actor,0.17013325147390046,real,0.15501299999833248,identical,0.1512295568656893,twin,0.1512295568656893,hmm,0.13951169999849924
Ross,S05,ben,0.31725472175790687,wife,0.3135419979616629,sandwich,0.23376663708477347,sister,0.16697616934626677,supposed,0.16697616934626677,apartment,0.16697616934626677,marriage,0.15822087606709037,year,0.1502785524116401,talked,0.14471169136692133,kind,0.14471169136692133,wife,0.33409743661210073,sandwich,0.24909209842122498,sister,0.17792292744373214,supposed,0.17792292744373214,apartment,0.17792292744373214,marriage,0.16859364760123507,year,0.16013063469935893,thanksgiving,0.15419881689789264,talked,0.15419881689789264,kind,0.15419881689789264
Rachel,S05,honey,0.5440211711938708,ugh,0.32274918433815164,cat,0.18620272471203858,hit,0.17930510241008427,minute,0.17643929876557973,naked,0.173789209731236,danny,0.16173602386844807,eye,0.1434440819280674,sick,0.12551357168705898,mon,0.11762619917705315,honey,0.5454972812998836,ugh,0.32362491005975075,cat,0.1867079545418104,hit,0.17979161669986152,minute,0.17691803717834062,naked,0.17426075757235637,danny,0.1621748674134789,eye,0.1438332933598892,sick,0.12585413168990306,couch,0.11794535811889374
Phoebe,S05,cups,0.24149710853756884,high,0.1690479759762982,lady,0.1690479759762982,read,0.1690479759762982,sweet,0.15842486693186764,party,0.1504723034047197,dead,0.1448982651225413,story,0.1448982651225413,selfless,0.1448982651225413,learn,0.1448982651225413,cups,0.24384138024847113,lady,0.17068896617392978,high,0.17068896617392978,read,0.17068896617392978,sweet,0.15996273600243688,party,0.15193297498907996,vegas,0.14630482814908266,cop,0.14630482814908266,park,0.14630482814908266,selfless,0.14630482814908266
Monica,S05,cute,0.27096151944848945,sweetie,0.2703560013944633,minute,0.19706292323526506,food,0.18023733426297553,promise,0.18023733426297553,anniversary,0.1724300578308569,honey,0.1724300578308569,close,0.1501977785524796,couple,0.1501977785524796,boyfriend,0.1501977785524796,cute,0.27309593743460014,sweetie,0.2724856495939708,minute,0.19861522722516373,food,0.18165709972931388,promise,0.18165709972931388,honey,0.17378832382201825,anniversary,0.17378832382201825,couple,0.1513809164410949,close,0.1513809164410949,plane,0.1513809164410949
Chandler,S09,tulsa,0.36555829774160453,wife,0.24964521403781154,wouldn,0.2193349786449627,honey,0.18517766023366758,sperm,0.1604862090243074,year,0.14814212818693404,zack,0.1426544080216066,smoke,0.13160098718697763,christmas,0.13160098718697763,morning,0.12482260701890577,wife,0.2770437754508126,wouldn,0.24340699182408612,honey,0.2055009078303931,sperm,0.17809956993266524,year,0.16440072626431446,christmas,0.14604419509445168,smoke,0.14604419509445168,child,0.1385218877254063,single,0.1385218877254063,morning,0.1385218877254063
Joey,S09,hit,0.27533330489042945,hot,0.21633331098533742,whoa,0.19924739578962736,dude,0.19666664635030676,later,0.19186655169655487,wasn,0.18264344614049174,hugsy,0.17699998171527606,pheebs,0.17699998171527606,minute,0.14943554684222052,hell,0.14389991377241615,hit,0.2797503233994952,hot,0.2198038255281748,whoa,0.20244381053297328,dude,0.19982165957106798,later,0.19494455967837734,wasn,0.18557349298855885,hugsy,0.17983949361396118,minute,0.15183285789972997,hell,0.14620841975878301,usually,0.14620841975878301
Ross,S09,uhm,0.44812254012905306,dead,0.17565472575968138,kissing,0.15613753400860567,nanny,0.15613753400860567,molly,0.13662034225752998,professor,0.13662034225752998,went,0.1351199430070144,happened,0.1351199430070144,propose,0.1351199430070144,relationship,0.12803501146544374,uhm,0.4549150155992867,dead,0.17831723502692257,kissing,0.15850420891282005,nanny,0.15850420891282005,molly,0.13869118279871753,professor,0.13869118279871753,propose,0.13716804105213887,went,0.13716804105213887,happened,0.13716804105213887,dude,0.12997571874265335
Rachel,S09,gavin,0.3616820587762525,amy,0.2486564154086736,honey,0.23474717087795174,pheebs,0.16682875994818222,wiener,0.15823590071461047,care,0.1564981139186345,phone,0.1356307720410947,beautiful,0.1297557021819195,ass,0.1297557021819195,liked,0.1130256433675789,honey,0.2725731371619917,care,0.18171542477466113,phone,0.15748562546112632,beautiful,0.15066387669809728,ass,0.15066387669809728,butts,0.13123802121760528,sandy,0.13123802121760528,gleba,0.13123802121760528,mon,0.13123802121760528,liked,0.13123802121760528
Phoebe,S09,uhm,0.3876231942282863,david,0.26492325254101873,bob,0.24760631552292645,food,0.2025869854278489,massage,0.18458247344204107,plan,0.15756765533277137,married,0.15583720737706985,friends,0.14025348663936288,gets,0.14025348663936288,kidding,0.1350579902852326,uhm,0.4178877111530054,food,0.21840440125977678,massage,0.19899414816809777,plan,0.16987008986871527,married,0.1680045334565992,friends,0.15120408011093928,gets,0.15120408011093928,kidding,0.14560293417318454,late,0.14560293417318454,pick,0.13929590371766845
Monica,S09,honey,0.45633923910241236,tulsa,0.20923130820999336,restaurant,0.17664744739448218,ovulating,0.17010378711982294,bigger,0.17010378711982294,sing,0.17010378711982294,week,0.17010378711982294,pregnant,0.14884081372984506,dad,0.14884081372984506,trying,0.1472062061620685,honey,0.47008982402732824,restaurant,0.18197025446219156,sing,0.1752294181644853,ovulating,0.1752294181644853,bigger,0.1752294181644853,week,0.1752294181644853,dad,0.15332574089392464,pregnant,0.15332574089392464,trying,0.15164187871849297,drunk,0.13142206362336398
Chandler,S08,honey,0.3751839714894138,picture,0.29180975560287736,porn,0.2709643502850234,cameras,0.2709643502850234,bob,0.24085720025335414,cheese,0.21075005022168486,closet,0.1806429001900156,job,0.1806429001900156,boots,0.17281805600304312,crazy,0.16674843177307277,honey,0.3865642034794068,picture,0.30066104715064973,porn,0.27918335056645815,cameras,0.27918335056645815,cheese,0.21714260599613414,job,0.1861222337109721,closet,0.1861222337109721,boots,0.17806004318486954,crazy,0.17180631265751414,chance,0.1551018614258101
Joey,S08,whoa,0.33283812068385993,rach,0.23421941825901255,stupid,0.17806032945929587,dude,0.17806032945929587,worry,0.16025429651336628,hell,0.16025429651336628,date,0.14792805363727107,face,0.14601201734494604,ball,0.1424482635674367,tribbiani,0.1424482635674367,whoa,0.3448596496103293,dude,0.1844915561374586,stupid,0.1844915561374586,hell,0.16604240052371275,worry,0.16604240052371275,date,0.15327095538236857,face,0.15128571522101247,tribbiani,0.14759324490996686,ball,0.14759324490996686,friends,0.1404983757671712
Ross,S08,mona,0.30856810120274025,rach,0.2524648100749693,happened,0.19636151894719833,wanna,0.16830987338331285,ben,0.16612984182182272,months,0.16207506700180996,ruth,0.16207506700180996,date,0.15428405060137013,mind,0.14181568362658373,veto,0.12155630025135748,happened,0.21972127081105763,wanna,0.1883325178380494,months,0.18135600029658,ruth,0.18135600029658,date,0.17263814135154532,mind,0.1586865002595075,veto,0.13601700022243499,moving,0.13601700022243499,europe,0.13601700022243499,water,0.13601700022243499
Rachel,S08,honey,0.2604311048809126,date,0.22322666132649652,whoa,0.18602221777208044,leave,0.17626825659657933,comes,0.16121815388996644,candy,0.16121815388996644,father,0.14881777421766434,cute,0.14330502567997017,ask,0.136416293032859,gave,0.13220119244743447,honey,0.2621798122342021,date,0.2247255533436018,whoa,0.1872712944530015,leave,0.17745183870595488,comes,0.16230067961714506,candy,0.16230067961714506,father,0.1498170355624012,cute,0.14426727077079562,ask,0.1373322825988678,gave,0.13308887902946615
Phoebe,S08,sting,0.2372593190740349,parker,0.20760190418978056,meet,0.20532196742264233,mother,0.1847897706803781,turn,0.17794448930552617,hand,0.17794448930552617,ursula,0.17794448930552617,james,0.17794448930552617,soul,0.17794448930552617,second,0.17023653122202828,sting,0.245681928261039,parker,0.21497168722840912,meet,0.21261081363469808,mother,0.19134973227122826,turn,0.18426144619577925,soul,0.18426144619577925,james,0.18426144619577925,hand,0.18426144619577925,second,0.17627985873991156,friends,0.17008865090775846
