character,season,mot_1,score_1,mot_2,score_2,mot_3,score_3,mot_4,score_4,mot_5,score_5,mot_6,score_6,mot_7,score_7,mot_8,score_8,mot_9,score_9,mot_10,score_10,mot_1_filtre,score_1_filtre,mot_2_filtre,score_2_filtre,mot_3_filtre,score_3_filtre,mot_4_filtre,score_4_filtre,mot_5_filtre,score_5_filtre,mot_6_filtre,score_6_filtre,mot_7_filtre,score_7_filtre,mot_8_filtre,score_8_filtre,mot_9_filtre,score_9_filtre,mot_10_filtre,score_10_filtre
Phoebe,S02,adelman,0.30002344024693917,double,0.187514650154337,guitar,0.15001172012346958,songs,0.15001172012346958,yeller,0.15001172012346958,agree,0.1125087900926022,repeat,0.1125087900926022,lather,0.1125087900926022,grandmother,0.1125087900926022,bras,0.1125087900926022,double,0.19672236884115807,guitar,0.15737789507292646,yeller,0.15737789507292646,songs,0.15737789507292646,bras,0.11803342130469484,grandmother,0.11803342130469484,dice,0.11803342130469484,dies,0.11803342130469484,fancy,0.11803342130469484,spirit,0.11803342130469484
Monica,S02,benny,0.22032632461961546,chop,0.17626105969569236,terrible,0.17626105969569236,wenny,0.13219579477176926,guts,0.13219579477176926,hates,0.13219579477176926,gloves,0.13219579477176926,sauti,0.13219579477176926,steaks,0.13219579477176926,treat,0.08813052984784618,benny,0.22075539284417356,terrible,0.17660431427533885,chop,0.17660431427533885,sauti,0.13245323570650414,steaks,0.13245323570650414,gloves,0.13245323570650414,guts,0.13245323570650414,wenny,0.13245323570650414,hates,0.13245323570650414,shorter,0.08830215713766942
Chandler,S07,stories,0.19289712886816454,biology,0.14467284665112343,anxiety,0.14467284665112343,brave,0.14467284665112343,panic,0.14467284665112343,romantic,0.14467284665112343,hint,0.09644856443408227,ude,0.09644856443408227,derrick,0.09644856443408227,fresh,0.09644856443408227,stories,0.19312181983410676,romantic,0.14484136487558005,panic,0.14484136487558005,brave,0.14484136487558005,biology,0.14484136487558005,anxiety,0.14484136487558005,spitter,0.09656090991705338,shop,0.09656090991705338,listening,0.09656090991705338,newman,0.09656090991705338
Joey,S07,terry,0.19952172111690522,remoray,0.19952172111690522,coma,0.15961737689352418,whack,0.15961737689352418,drake,0.15961737689352418,soapie,0.15961737689352418,winner,0.11971303267014313,agent,0.11971303267014313,director,0.11971303267014313,barn,0.11971303267014313,remoray,0.19952172111690522,terry,0.19952172111690522,soapie,0.15961737689352418,drake,0.15961737689352418,coma,0.15961737689352418,whack,0.15961737689352418,script,0.11971303267014313,playstation,0.11971303267014313,hoop,0.11971303267014313,director,0.11971303267014313
Ross,S07,professor,0.3157348151855428,slide,0.1578674075927714,pivot,0.1578674075927714,lift,0.1578674075927714,climb,0.1578674075927714,bapstein,0.1578674075927714,piv,0.11840055569457855,morse,0.11840055569457855,students,0.11840055569457855,maccabees,0.11840055569457855,professor,0.3167230329859578,slide,0.1583615164929789,pivot,0.1583615164929789,lift,0.1583615164929789,climb,0.1583615164929789,bapstein,0.1583615164929789,piv,0.11877113736973417,maccabees,0.11877113736973417,morse,0.11877113736973417,lips,0.11877113736973417
Rachel,S07,desk,0.3061114927173517,contracts,0.2295836195380138,bla,0.15305574635867586,evaluation,0.15305574635867586,switch,0.15305574635867586,zelner,0.15305574635867586,tuxedos,0.1147918097690069,gown,0.1147918097690069,sisters,0.1147918097690069,digital,0.07652787317933793,desk,0.3097612370649458,contracts,0.23232092779870933,bla,0.1548806185324729,evaluation,0.1548806185324729,switch,0.1548806185324729,tuxedos,0.11616046389935467,gown,0.11616046389935467,sisters,0.11616046389935467,addressed,0.07744030926623645,tough,0.07744030926623645
Phoebe,S07,earl,0.30769230769230715,headache,0.23076923076923037,toner,0.19230769230769199,reset,0.19230769230769199,button,0.19230769230769199,supply,0.15384615384615358,regular,0.15384615384615358,birth,0.15384615384615358,swelling,0.11538461538461518,russia,0.11538461538461518,earl,0.31069425495224634,headache,0.23302069121418478,button,0.19418390934515398,toner,0.19418390934515398,reset,0.19418390934515398,regular,0.15534712747612317,birth,0.15534712747612317,supply,0.15534712747612317,russia,0.11651034560709239,celery,0.11651034560709239
Monica,S07,planning,0.1827646649539812,inches,0.1370734987154859,laughing,0.1370734987154859,sixth,0.1370734987154859,lounger,0.1370734987154859,grand,0.1370734987154859,fund,0.1370734987154859,clark,0.1370734987154859,barca,0.1370734987154859,swedish,0.0913823324769906,planning,0.18295574149853897,inches,0.13721680612390422,laughing,0.13721680612390422,sixth,0.13721680612390422,lounger,0.13721680612390422,grand,0.13721680612390422,fund,0.13721680612390422,clark,0.13721680612390422,barca,0.13721680612390422,nutmeg,0.09147787074926948
Chandler,S05,dum,0.4203313517091977,rocks,0.16813254068367908,smoked,0.1260994055127593,racquet,0.1260994055127593,wake,0.1260994055127593,months,0.1260994055127593,dictionary,0.1260994055127593,cooking,0.1260994055127593,condoms,0.1260994055127593,bridge,0.1260994055127593,dum,0.4203313517091977,rocks,0.16813254068367908,bridge,0.1260994055127593,attracted,0.1260994055127593,cooking,0.1260994055127593,art,0.1260994055127593,dictionary,0.1260994055127593,wake,0.1260994055127593,condoms,0.1260994055127593,months,0.1260994055127593
Joey,S05,noodle,0.2574846452537241,treat,0.17165643016914942,hooked,0.17165643016914942,choo,0.17165643016914942,italian,0.12874232262686205,casting,0.12874232262686205,born,0.12874232262686205,situation,0.08582821508457471,millionaire,0.08582821508457471,smiling,0.08582821508457471,noodle,0.25843829535236823,hooked,0.1722921969015788,treat,0.1722921969015788,choo,0.1722921969015788,italian,0.12921914767618412,casting,0.12921914767618412,born,0.12921914767618412,smiling,0.0861460984507894,sweatshirt,0.0861460984507894,typical,0.0861460984507894
