type,season,episode,top10
EPISODE,S07,E18,joey;gonna;like;award;god;well;rachel;get;really;there
EPISODE,S07,E19,hey;right;well;movie;know;get;like;uh;really;thats
EPISODE,S07,E20,hey;parents;one;well;wow;them;who;joey;tux;monica
EPISODE,S07,E21,monica;know;well;chandler;one;say;out;look;hey;back
EPISODE,S07,E22,out;hey;get;know;well;drive;right;ross;there;yknow
EPISODE,S07,E23,go;gonna;chandler;well;hey;right;monica;know;if;uh
EPISODE,S07,E24,little;out;were;check;say;laughing;starts;know;yknow;back
EPISODE,S08,E01,pregnant;well;know;uh;about;how;going;tell;why;right
EPISODE,S08,E02,out;gonna;hey;cameras;joey;one;well;chandler;get;pregnant
EPISODE,S08,E03,know;well;ross;gonna;hey;honeymoon;think;go;were;tell
EPISODE,S08,E04,ross;were;right;about;yknow;how;tape;got;like;know
EPISODE,S08,E05,hey;well;go;phoebe;now;know;kash;tim;thats;right
EPISODE,S08,E06,well;right;hey;ross;candy;really;costume;yknow;phoebe;or
EPISODE,S08,E07,really;well;see;hey;baby;yknow;out;rachel;god;look
EPISODE,S08,E08,gonna;well;party;cant;there;come;phoebe;ross;right;hes
EPISODE,S08,E09,will;hey;turkey;like;right;rachel;well;really;chandler;who
EPISODE,S08,E10,them;get;boots;hey;well;dina;see;go;right;cant
EPISODE,S08,E11,were;about;hey;card;yknow;right;really;out;like;well
EPISODE,S08,E12,like;well;hey;game;got;go;out;get;date;why
EPISODE,S08,E13,know;about;really;right;if;think;bath;hey;rachel;mean
EPISODE,S08,E14,phoebe;hey;there;door;here;joey;if;come;monica;well
EPISODE,S08,E15,going;dog;get;hey;want;know;right;really;got;valentines
EPISODE,S08,E16,like;rachel;about;yknow;how;know;gonna;out;guy;hey
EPISODE,S08,E17,joey;know;like;gonna;well;his;mean;see;hey;really
EPISODE,S08,E18,well;like;hey;know;going;got;ross;really;want;thats
EPISODE,S08,E19,joey;there;thats;hey;out;then;gonna;right;say;like
EPISODE,S08,E20,well;right;know;ross;baby;chandler;thats;go;gonna;mrs
EPISODE,S08,E21,hey;well;like;uh;know;good;about;bad;go;really
EPISODE,S08,E22,out;well;get;want;how;really;here;gonna;baby;go
EPISODE,S08,E23,ross;were;here;uh;baby;right;rachel;hi;out;umm
EPISODE,S09,E01,hey;ross;rachel;ring;talk;look;joey;know;uh;didnt
EPISODE,S09,E02,know;go;ross;said;get;baby;his;guys;sleep;cant
EPISODE,S09,E03,know;go;mike;gonna;hey;his;well;really;tulsa;how
EPISODE,S09,E04,know;about;well;never;hey;how;ross;like;guy;serious
EPISODE,S09,E05,go;smoke;know;gonna;now;right;cant;one;get;well
EPISODE,S09,E06,know;his;really;well;mike;david;phoebe;guy;ross;door
EPISODE,S09,E07,know;well;uhm;like;about;looks;his;monica;big;were
EPISODE,S09,E08,know;like;hey;if;well;ross;emma;going;amy;our
EPISODE,S09,E10,here;christmas;well;about;chandler;really;get;gonna;go;know
EPISODE,S09,E11,gonna;hey;get;now;know;sorry;back;well;thats;because
EPISODE,S09,E12,know;like;joey;hey;think;shes;really;molly;now;right
EPISODE,S09,E13,know;about;right;out;there;get;thats;hey;well;here
EPISODE,S09,E14,know;hey;well;shes;if;emma;rachel;how;great;when
EPISODE,S09,E15,know;well;like;hey;got;good;think;joey;really;cant
EPISODE,S09,E16,know;get;money;were;thats;about;going;out;right;want
EPISODE,S09,E17,know;hugsy;gonna;hey;emma;here;cant;think;get;ross
EPISODE,S09,E18,know;get;gonna;tickets;win;hey;like;well;lottery;if
EPISODE,S09,E19,know;well;pause;here;good;an;hey;were;love;some
EPISODE,S09,E20,know;hey;joey;who;think;one;guys;get;why;charlie
EPISODE,S09,E21,know;hey;about;if;right;cant;go;wanna;mean;joey
EPISODE,S09,E22,know;get;think;gonna;go;well;about;out;hey;there
EPISODE,S09,E23,know;hey;gonna;david;phoebe;mike;about;chandler;go;get
EPISODE,S10,E01,know;joey;ross;think;wall;about;his;gonna;well;hey
EPISODE,S10,E02,know;hey;ross;thats;fine;well;out;about;see;like
EPISODE,S10,E03,know;well;get;how;hey;amanda;like;chandler;sorry;his
EPISODE,S10,E04,hey;emma;birthday;know;joey;well;get;us;gonna;like
EPISODE,S10,E05,know;hey;amy;think;joey;well;thats;were;gonna;about
EPISODE,S10,E06,well;hey;know;think;like;really;out;right;first;one
EPISODE,S10,E07,know;hey;like;gonna;really;well;out;thats;about;want
EPISODE,S10,E08,well;know;hey;were;get;gonna;one;thanksgiving;thats;ross
EPISODE,S10,E09,gonna;know;were;hey;really;baby;if;out;well;about
EPISODE,S10,E10,know;chandler;if;or;god;think;sex;about;well;an
EPISODE,S10,E11,out;hey;know;gonna;right;well;really;chandler;like;look
EPISODE,S10,E12,know;wedding;well;hey;mike;phoebe;if;were;one;out
EPISODE,S10,E13,really;hey;je;know;well;gonna;right;ross;rachel;erica
EPISODE,S10,E14,know;hey;gonna;well;here;see;get;house;out;name
EPISODE,S10,E15,well;if;joey;know;job;out;hey;house;look;gonna
EPISODE,S10,E16,know;right;hey;gonna;well;shes;these;if;guys;say
EPISODE,S10,E17,know;hey;get;one;god;gonna;now;mean;good;if
